TransactionID	Date	Count	Cost	Доставка	Плохой отзыв	Paid	Weight	Promo	AutoIssue
1	2020-Aug-21 8:53:03	67	6325	0	0	2605,0	5481	0	0
2	2019-Sep-3 11:53:03	90	8307	1	1	8553,0	5956	1	1
3	2019-Oct-15 4:31:02	59	9819	0	1	9995,0	5170	1	0
4	2019-Aug-26 4:14:00	14	5351	1	1	12603,0	8826	0	0
5	2020-Aug-27 1:21:03	14	7779	1	0	5625,0	5357	0	0
6	2020-Aug-19 16:41:01	51	6595	1	1	9191,0	8717	0	0
7	2019-Aug-26 18:49:04	9	6764	1	1	13167,0	9407	1	1
8	2020-Aug-23 13:34:03	45	6381	0	0	6251,0	9227	0	0
9	2020-Aug-31 16:57:02	31	8795	0	1	2047,0	6044	0	1
10	2020-Aug-29 9:18:01	41	4175	0	1	6300,0	7866	1	1
11	2019-Oct-25 14:31:00	55	8403	0	1	10468,0	8800	1	1
12	2020-Aug-25 9:44:05	91	5359	1	1	8030,0	8058	1	0
13	2020-Aug-23 14:48:02	29	7208	1	1	6458,0	4117	0	1
14	2019-Oct-24 13:52:04	55	4079	1	1	11442,0	8513	0	0
15	2019-Nov-9 7:15:00	27	6571	0	0	3254,0	5345	0	1
16	2019-Jul-15 11:30:00	55	8435	1	0	608,0	5063	0	1
17	2019-Apr-21 6:46:01	79	4147	1	0	1169,0	9909	0	1
18	2020-Aug-22 8:45:00	40	7588	0	1	9323,0	5425	0	0
19	2019-Dec-15 18:45:00	87	8733	0	0	1596,0	5352	0	1
20	2019-Aug-17 18:15:00	63	7519	1	1	12434,0	6916	1	0
21	2019-Nov-12 7:15:03	39	5728	0	0	5184,0	9197	0	0
22	2019-Apr-1 12:20:04	29	8313	0	0	8523,0	8088	0	0
23	2020-May-30 17:30:00	38	8890	1	0	7429,0	9422	0	0
24	2019-Sep-15 7:45:00	17	4518	0	0	10763,0	9815	1	1
25	2020-Jun-23 9:45:00	94	7078	0	0	2201,0	7258	0	0
26	2019-Sep-24 13:45:00	21	6744	1	1	392,0	8899	1	1
27	2019-May-19 20:01:01	53	5721	0	0	14428,0	9049	0	0
28	2020-Mar-19 16:45:00	27	6371	1	0	5960,0	8556	1	0
29	2020-Jan-24 10:30:00	62	7491	1	0	13810,0	8007	0	1
30	2019-Jun-23 19:15:00	39	7752	1	1	4013,0	8722	0	1
31	2019-Sep-5 4:30:00	46	7001	0	0	1677,0	7722	1	0
32	2019-Nov-28 11:45:00	91	6889	1	1	242,0	4649	1	1
33	2020-Jul-19 11:30:00	70	9790	0	1	9439,0	4054	1	1
34	2020-Jan-20 11:00:00	26	5215	0	1	3443,0	5640	0	0
35	2020-May-9 9:30:00	41	8900	0	1	8606,0	4872	0	1
36	2019-Dec-8 16:30:00	67	8224	0	0	14988,0	5775	0	0
37	2019-Oct-28 18:30:00	81	9932	1	1	11279,0	8175	0	0
38	2020-May-3 1:45:00	42	6485	1	0	3832,0	6040	1	0
39	2020-Jul-24 5:30:00	43	7657	0	1	12357,0	4717	1	0
40	2020-May-5 14:30:00	30	4382	0	0	12324,0	5656	0	0
41	2020-Apr-27 7:30:00	17	5282	1	0	5433,0	5990	1	0
42	2020-Mar-4 19:45:00	10	7594	1	1	12624,0	9788	0	0
43	2019-Sep-24 5:45:00	62	8374	0	0	2232,0	7755	0	0
44	2019-Apr-5 12:16:01	13	7362	0	1	2205,0	5489	0	1
45	2019-Aug-16 21:15:00	37	5271	1	0	14116,0	8453	1	0
46	2019-Jul-17 5:00:01	84	7021	1	1	2080,0	4493	1	0
47	2020-Jun-18 14:30:00	94	5245	0	1	2577,0	6278	0	1
48	2020-Jul-9 22:00:00	67	9310	1	0	5638,0	4079	0	1
49	2020-Jan-13 10:45:00	17	4617	1	1	13895,0	9243	0	1
50	2020-Mar-22 13:15:00	17	9245	0	0	11403,0	9378	0	1
51	2020-Mar-6 18:00:00	23	4258	1	0	9356,0	6978	1	1
52	2019-Sep-20 10:00:00	44	8182	1	1	204,0	9361	1	0
53	2019-Jul-12 17:00:00	25	6398	0	0	6479,0	6651	0	0
54	2019-May-29 15:16:00	44	7070	1	0	6830,0	9543	0	1
55	2020-Jun-17 15:30:00	93	9195	0	1	2846,0	7487	1	1
56	2020-Aug-5 8:15:00	19	5129	0	1	4953,0	8805	1	1
57	2019-May-31 2:46:01	42	7083	1	0	7729,0	6773	0	0
58	2020-Jul-13 8:30:00	5	5132	0	1	9958,0	4233	0	1
59	2019-Jun-6 3:45:05	29	9827	1	0	5742,0	6790	1	1
60	2019-Oct-14 9:45:00	65	8344	1	0	3819,0	5553	1	0
61	2019-Dec-8 8:15:00	55	7660	1	1	8516,0	6185	1	0
62	2019-Sep-24 12:00:00	71	5967	0	0	2713,0	8943	1	1
63	2019-Aug-7 14:45:00	95	9141	1	0	1175,0	6007	1	1
64	2019-Aug-19 9:45:00	3	4361	1	0	4034,0	8043	0	0
65	2020-Mar-5 10:15:00	81	9018	0	1	3568,0	7328	1	1
66	2019-May-31 12:49:01	70	5907	0	1	10538,0	9621	0	1
67	2019-Oct-25 18:00:00	32	7489	1	0	7179,0	8699	1	1
68	2020-Jan-10 20:45:00	98	5327	0	1	12992,0	6723	1	1
69	2019-Nov-1 5:15:00	91	4552	1	0	5580,0	4151	1	1
70	2020-Jul-26 17:00:00	23	6592	0	0	752,0	6109	0	1
71	2020-Aug-16 13:45:00	1	8411	1	1	13386,0	4144	1	1
72	2020-Feb-12 8:30:00	60	5774	1	0	1840,0	7535	0	0
73	2019-Jun-27 8:15:00	86	9556	0	0	14561,0	9397	1	1
74	2020-Jul-10 12:45:00	86	4965	1	0	4350,0	5972	1	0
75	2019-Nov-18 11:00:01	84	4895	1	0	6381,0	6154	0	1
76	2019-Nov-25 13:00:00	93	6037	0	0	10962,0	7596	1	0
77	2020-Aug-27 8:00:00	49	6309	1	1	3399,0	7552	0	0
78	2020-May-22 6:15:00	68	5073	1	0	10124,0	5548	1	0
79	2020-Jul-31 9:30:00	29	4477	0	1	12027,0	6875	0	0
80	2019-Jul-9 11:00:01	52	7350	0	1	3800,0	8508	0	1
81	2019-Aug-17 16:30:00	8	5271	1	1	4083,0	6281	0	0
82	2019-Jul-16 6:30:00	86	6755	1	0	11963,0	4175	1	0
83	2019-Jul-5 13:45:00	76	5621	0	0	14585,0	8272	0	0
84	2019-Jun-13 13:15:00	64	6224	0	0	2137,0	9717	0	1
85	2020-Aug-24 0:15:00	79	4333	0	1	6321,0	7111	0	0
86	2020-Jul-19 19:15:00	91	7168	0	1	5003,0	6401	0	0
87	2019-May-13 14:36:01	52	6078	1	0	4711,0	8638	1	1
88	2020-May-19 11:00:00	100	5265	0	0	10302,0	8921	1	1
89	2019-Nov-20 5:45:00	90	9635	0	0	10279,0	5872	1	1
90	2019-Aug-19 11:45:00	36	8444	1	0	14519,0	4812	0	1
91	2019-Jul-5 13:15:00	66	9203	1	1	8427,0	4759	1	1
92	2020-May-29 12:00:00	15	8425	0	0	5322,0	6713	0	0
93	2019-Oct-27 7:00:01	14	6323	1	0	2995,0	6319	1	1
94	2020-Apr-10 13:15:00	26	9338	1	0	11202,0	4364	1	0
95	2020-Jun-15 17:15:00	89	7311	0	1	5819,0	4100	1	0
96	2019-Jul-13 17:30:01	74	6913	0	1	1270,0	9713	0	0
97	2020-Jun-8 16:00:00	99	8474	1	1	14965,0	7623	1	1
